Time_ps,Density_g_per_cm3
3.189500009509193656e+00,2.045089597832837836e+00
3.190000009510684187e+00,2.045089597832837836e+00
3.190500009512175161e+00,2.045089597832837836e+00
3.191000009513665692e+00,2.045089597832837836e+00
3.191500009515156222e+00,2.045089597832837836e+00
3.192000009516647197e+00,2.045089597832837836e+00
3.192500009518137727e+00,2.045089597832837836e+00
3.193000009519628257e+00,2.045089597832837836e+00
3.193500009521119232e+00,2.045089597832837836e+00
3.194000009522609762e+00,2.045089597832837836e+00
3.194500009524100737e+00,2.045089597832837836e+00
3.195000009525591267e+00,2.045089597832837836e+00
3.195500009527081797e+00,2.045089597832837836e+00
3.196000009528572772e+00,2.045089597832837836e+00
3.196500009530063302e+00,2.045089597832837836e+00
3.197000009531554277e+00,2.045089597832837836e+00
3.197500009533044807e+00,2.045089597832837836e+00
3.198000009534535337e+00,2.045089597832837836e+00
3.198500009536026312e+00,2.045089597832837836e+00
3.199000009537516842e+00,2.045089597832837836e+00
3.199500009539007817e+00,2.045089597832837836e+00
3.200000009540498347e+00,2.037935124174372614e+00
3.200500009541988877e+00,2.037935124174372614e+00
3.201000009543479852e+00,2.037935124174372614e+00
3.201500009544970382e+00,2.037935124174372614e+00
3.202000009546460912e+00,2.037935124174372614e+00
3.202500009547951887e+00,2.037935124174372614e+00
3.203000009549442417e+00,2.037935124174372614e+00
3.203500009550933392e+00,2.037935124174372614e+00
3.204000009552423922e+00,2.037935124174372614e+00
3.204500009553914452e+00,2.037935124174372614e+00
3.205000009555405427e+00,2.037935124174372614e+00
3.205500009556895957e+00,2.037935124174372614e+00
3.206000009558386932e+00,2.037935124174372614e+00
3.206500009559877462e+00,2.037935124174372614e+00
3.207000009561367992e+00,2.037935124174372614e+00
3.207500009562858967e+00,2.037935124174372614e+00
3.208000009564349497e+00,2.037935124174372614e+00
3.208500009565840472e+00,2.037935124174372614e+00
3.209000009567331002e+00,2.037935124174372614e+00
3.209500009568821532e+00,2.037935124174372614e+00
3.210000009570312507e+00,2.037935124174372614e+00
3.210500009571803037e+00,2.037935124174372614e+00
3.211000009573293568e+00,2.037935124174372614e+00
3.211500009574784542e+00,2.037935124174372614e+00
3.212000009576275072e+00,2.037935124174372614e+00
3.212500009577766047e+00,2.038220531579020278e+00
3.213000009579256577e+00,2.038220531579020278e+00
3.213500009580747108e+00,2.038220531579020278e+00
3.214000009582238082e+00,2.038220531579020278e+00
3.214500009583728612e+00,2.038220531579020278e+00
3.215000009585219587e+00,2.038220531579020278e+00
3.215500009586710117e+00,2.038220531579020278e+00
3.216000009588200648e+00,2.038220531579020278e+00
3.216500009589691622e+00,2.038220531579020278e+00
3.217000009591182152e+00,2.038220531579020278e+00
3.217500009592673127e+00,2.038220531579020278e+00
3.218000009594163657e+00,2.038220531579020278e+00
3.218500009595654188e+00,2.038220531579020278e+00
3.219000009597145162e+00,2.038220531579020278e+00
3.219500009598635692e+00,2.038220531579020278e+00
3.220000009600126223e+00,2.038220531579020278e+00
3.220500009601617197e+00,2.038220531579020278e+00
3.221000009603107728e+00,2.038220531579020278e+00
3.221500009604598702e+00,2.038220531579020278e+00
3.222000009606089233e+00,2.038220531579020278e+00
3.222500009607579763e+00,2.038220531579020278e+00
3.223000009609070737e+00,2.038220531579020278e+00
3.223500009610561268e+00,2.038220531579020278e+00
3.224000009612052242e+00,2.038220531579020278e+00
3.224500009613542773e+00,2.038220531579020278e+00
3.225000009615033303e+00,2.038220531579020278e+00
3.225500009616524277e+00,2.038220531579020278e+00
3.226000009618014808e+00,2.038220531579020278e+00
3.226500009619505782e+00,2.038220531579020278e+00
3.227000009620996313e+00,2.038220531579020278e+00
3.227500009622486843e+00,2.038220531579020278e+00
3.228000009623977817e+00,2.038220531579020278e+00
3.228500009625468348e+00,2.038220531579020278e+00
3.229000009626958878e+00,2.038220531579020278e+00
3.229500009628449853e+00,2.038220531579020278e+00
3.230000009629940383e+00,2.038220531579020278e+00
3.230500009631431357e+00,2.038220531579020278e+00
3.231000009632921888e+00,2.038220531579020278e+00
3.231500009634412418e+00,2.038220531579020278e+00
3.232000009635903393e+00,2.038220531579020278e+00
3.232500009637393923e+00,2.038220531579020278e+00
3.233000009638884897e+00,2.038220531579020278e+00
3.233500009640375428e+00,2.038220531579020278e+00
3.234000009641865958e+00,2.038220531579020278e+00
3.234500009643356933e+00,2.038220531579020278e+00
3.235000009644847463e+00,2.038220531579020278e+00
3.235500009646338437e+00,2.038220531579020278e+00
3.236000009647828968e+00,2.038220531579020278e+00
3.236500009649319498e+00,2.038220531579020278e+00
3.237000009650810473e+00,2.038220531579020278e+00
3.237500009652301003e+00,2.038220531579020278e+00
3.238000009653791533e+00,2.038220531579020278e+00
3.238500009655282508e+00,2.038220531579020278e+00
3.239000009656773038e+00,2.038220531579020278e+00
3.239500009658264013e+00,2.038220531579020278e+00
3.240000009659754543e+00,2.038220531579020278e+00
3.240500009661245073e+00,2.038220531579020278e+00
3.241000009662736048e+00,2.038220531579020278e+00
3.241500009664226578e+00,2.038220531579020278e+00
3.242000009665717553e+00,2.038220531579020278e+00
3.242500009667208083e+00,2.038220531579020278e+00
3.243000009668698613e+00,2.038220531579020278e+00
3.243500009670189588e+00,2.038220531579020278e+00
3.244000009671680118e+00,2.038220531579020278e+00
3.244500009673171093e+00,2.038220531579020278e+00
3.245000009674661623e+00,2.038220531579020278e+00
3.245500009676152153e+00,2.038220531579020278e+00
3.246000009677643128e+00,2.038220531579020278e+00
3.246500009679133658e+00,2.038220531579020278e+00
3.247000009680624188e+00,2.038220531579020278e+00
3.247500009682115163e+00,2.038220531579020278e+00
3.248000009683605693e+00,2.038220531579020278e+00
3.248500009685096668e+00,2.038220531579020278e+00
3.249000009686587198e+00,2.038220531579020278e+00
3.249500009688077728e+00,2.038220531579020278e+00
3.250000009689568703e+00,2.050540481180774144e+00
3.250500009691059233e+00,2.050540481180774144e+00
3.251000009692550208e+00,2.050540481180774144e+00
3.251500009694040738e+00,2.050540481180774144e+00
3.252000009695531269e+00,2.050540481180774144e+00
3.252500009697022243e+00,2.050540481180774144e+00
3.253000009698512773e+00,2.050540481180774144e+00
3.253500009700003304e+00,2.050540481180774144e+00
3.254000009701494278e+00,2.050540481180774144e+00
3.254500009702984809e+00,2.050540481180774144e+00
3.255000009704475783e+00,2.050540481180774144e+00
3.255500009705966313e+00,2.050540481180774144e+00
3.256000009707456844e+00,2.050540481180774144e+00
3.256500009708947818e+00,2.050540481180774144e+00
3.257000009710438349e+00,2.050540481180774144e+00
3.257500009711929323e+00,2.050540481180774144e+00
3.258000009713419853e+00,2.050540481180774144e+00
3.258500009714910384e+00,2.050540481180774144e+00
3.259000009716401358e+00,2.050540481180774144e+00
3.259500009717891889e+00,2.050540481180774144e+00
3.260000009719382863e+00,2.050540481180774144e+00
3.260500009720873393e+00,2.050540481180774144e+00
3.261000009722363924e+00,2.050540481180774144e+00
3.261500009723854898e+00,2.050540481180774144e+00
3.262000009725345429e+00,2.050540481180774144e+00
3.262500009726835959e+00,2.033958718198317861e+00
3.263000009728326933e+00,2.033958718198317861e+00
3.263500009729817464e+00,2.033958718198317861e+00
3.264000009731308438e+00,2.033958718198317861e+00
3.264500009732798969e+00,2.033958718198317861e+00
3.265000009734289499e+00,2.033958718198317861e+00
3.265500009735780473e+00,2.033958718198317861e+00
3.266000009737271004e+00,2.033958718198317861e+00
3.266500009738761978e+00,2.033958718198317861e+00
3.267000009740252509e+00,2.033958718198317861e+00
3.267500009741743039e+00,2.033958718198317861e+00
3.268000009743234013e+00,2.033958718198317861e+00
3.268500009744724544e+00,2.033958718198317861e+00
3.269000009746215518e+00,2.033958718198317861e+00
3.269500009747706049e+00,2.033958718198317861e+00
3.270000009749196579e+00,2.033958718198317861e+00
3.270500009750687553e+00,2.033958718198317861e+00
3.271000009752178084e+00,2.033958718198317861e+00
3.271500009753668614e+00,2.033958718198317861e+00
3.272000009755159589e+00,2.033958718198317861e+00
3.272500009756650119e+00,2.033958718198317861e+00
3.273000009758141093e+00,2.033958718198317861e+00
3.273500009759631624e+00,2.033958718198317861e+00
3.274000009761122154e+00,2.033958718198317861e+00
3.274500009762613129e+00,2.033958718198317861e+00
3.275000009764103659e+00,2.038907259368092806e+00
3.275500009765594633e+00,2.038907259368092806e+00
3.276000009767085164e+00,2.038907259368092806e+00
3.276500009768575694e+00,2.038907259368092806e+00
3.277000009770066669e+00,2.038907259368092806e+00
3.277500009771557199e+00,2.038907259368092806e+00
3.278000009773048173e+00,2.038907259368092806e+00
3.278500009774538704e+00,2.038907259368092806e+00
3.279000009776029234e+00,2.038907259368092806e+00
3.279500009777520209e+00,2.038907259368092806e+00
3.280000009779010739e+00,2.038907259368092806e+00
3.280500009780501269e+00,2.038907259368092806e+00
3.281000009781992244e+00,2.038907259368092806e+00
3.281500009783482774e+00,2.038907259368092806e+00
3.282000009784973749e+00,2.038907259368092806e+00
3.282500009786464279e+00,2.038907259368092806e+00
3.283000009787954809e+00,2.038907259368092806e+00
3.283500009789445784e+00,2.038907259368092806e+00
3.284000009790936314e+00,2.038907259368092806e+00
3.284500009792427289e+00,2.038907259368092806e+00
3.285000009793917819e+00,2.038907259368092806e+00
3.285500009795408349e+00,2.038907259368092806e+00
3.286000009796899324e+00,2.038907259368092806e+00
3.286500009798389854e+00,2.038907259368092806e+00
3.287000009799880829e+00,2.038907259368092806e+00
3.287500009801371359e+00,2.050269608943648958e+00
3.288000009802861889e+00,2.050269608943648958e+00
3.288500009804352864e+00,2.050269608943648958e+00
3.289000009805843394e+00,2.050269608943648958e+00
3.289500009807333925e+00,2.050269608943648958e+00
3.290000009808824899e+00,2.050269608943648958e+00
3.290500009810315429e+00,2.050269608943648958e+00
3.291000009811806404e+00,2.050269608943648958e+00
3.291500009813296934e+00,2.050269608943648958e+00
3.292000009814787465e+00,2.050269608943648958e+00
3.292500009816278439e+00,2.050269608943648958e+00
3.293000009817768969e+00,2.050269608943648958e+00
3.293500009819259944e+00,2.050269608943648958e+00
3.294000009820750474e+00,2.050269608943648958e+00
3.294500009822241005e+00,2.050269608943648958e+00
3.295000009823731979e+00,2.050269608943648958e+00
3.295500009825222509e+00,2.050269608943648958e+00
3.296000009826713484e+00,2.050269608943648958e+00
3.296500009828204014e+00,2.050269608943648958e+00
3.297000009829694545e+00,2.050269608943648958e+00
3.297500009831185519e+00,2.050269608943648958e+00
3.298000009832676049e+00,2.050269608943648958e+00
3.298500009834166580e+00,2.050269608943648958e+00
3.299000009835657554e+00,2.050269608943648958e+00
3.299500009837148085e+00,2.050269608943648958e+00
3.300000009838639059e+00,2.037241351563221503e+00
3.300500009840129589e+00,2.037241351563221503e+00
3.301000009841620120e+00,2.037241351563221503e+00
3.301500009843111094e+00,2.037241351563221503e+00
3.302000009844601625e+00,2.037241351563221503e+00
3.302500009846092599e+00,2.037241351563221503e+00
3.303000009847583129e+00,2.037241351563221503e+00
